id,division,by_product
67,Fertilizer,Pak Arab Guara
68,Fertilizer,S-metolachlor 960EC 800ML
69,Fertilizer,SOP-G
70,Fertilizer,SSP
71,Fertilizer,TSP
72,Fertilizer,UREA
73,Fertilizer,Zabardast Urea
74,Fertilizer,Zarkhez
75,Fertilizer,Zinc
76,Fertilizer,Zinc Sulphate
77,Dates,Ajwa Dates
78,Dates,Amber Dates
79,Dates,Aseel Chuara
80,Dates,Aseel Dates
81,Dates,Begum Jangi Dates
82,Dates,Black Aseel Chuara
83,Dates,Dhaki Chuara
84,Dates,Jamsor Dates
85,Dates,Karbala Dates
86,Dates,Kupra Dates
87,Dates,Mazafati Dates
88,Dates,Nar Chuara
89,Dates,Rabbi Dates
90,Dates,Rangkat Aseel Chuara
91,Dates,Rangkat Black Aseel Dry Dates
92,Dates,Rangkat Dhaki Dry Dates
93,Dates,Rangkat Nar Chuara
94,Dates,Sharifa Dates
95,Dates,Zahidi Dates
96,Mustard,Mustard Cake
97,Mustard,Mustard Oil
98,Mustard,Mustard Seed
99,Spices,Black Pepper
100,Spices,Black Pepper Powder
101,Spices,Cinnamon
102,Spices,Clove
103,Spices,Corainder Seed Powder
104,Spices,Coriander Seed
105,Spices,Cumin Black
106,Spices,Cumin White
107,Spices,Fennel
108,Spices,Jaifal
109,Spices,Large Black Cardamom
110,Spices,Red Chilli Powder
111,Spices,Red Chilli Whole
112,Spices,Red Hybrid Chilli
113,Spices,Red Longi Chilli
114,Spices,Red Rich Star Chilli
115,Spices,Red Shingri Chilli
116,Spices,Red Summer Queen Chilli
117,Spices,Small Cardamom
118,Spices,Turmeric
119,Pulses,Gram Black Thick
120,Pulses,Gram Black Thin
121,Pulses,Gram Black Thin As
122,Pulses,Gram Pulse Thick As
123,Pulses,Gram Pulse-Thin AS
124,Pulses,Gram White 7mm
125,Pulses,Gram White 9mm
126,Pulses,Mash sabut 2
127,Pulses,Mash shell thick
128,Pulses,Mash shell thin
129,Pulses,Mash washed-1
130,Pulses,Mash washed-2
131,Pulses,Mash Washed-Thick
132,Pulses,Mash Washed-Thin
133,Pulses,Masoor Pulse Red
134,Pulses,Masoor Sabut-1
135,Pulses,Masoor Sabut-2
136,Pulses,Moong Sabut-1
137,Pulses,Moong Sabut-2
138,Pulses,Moong shell-1
139,Pulses,Moong washed-1
140,Pulses,Moong washed-2
141,Pulses,Piegon Pea Thick
142,Pulses,Piegon Pea Thin
143,Pulses,Red lobia-1
144,Pulses,Red lobia-2
145,Pulses,white lobia thick
146,Pulses,White Lubya-Thin
147,Pulses,Yellow Peas
468,Pulses,Moongi
148,Sugar,Akbari Mandi - Sugar (Cheeni)
149,Sugar,Jaggery
150,Sugar,Refined Sugar
151,Sugar,Shakkar
152,Sugar,Sugar Cane
153,Sugar,sugar(mill)
154,Sugar,sugar(retail)
155,Sugar,sugar(wholesale)
156,Edible Oil,Arugula Oil
157,Edible Oil,Arugula Seed
158,Edible Oil,Canola Meal
159,Edible Oil,Canola Oil
160,Edible Oil,Canola Seed
161,Edible Oil,Castor Bean
162,Edible Oil,Soyabean Meal
163,Edible Oil,Soyabean Oil
164,Edible Oil,Soyabean Oil Washed
165,Edible Oil,Soyabean/Soyabean Seed
166,Edible Oil,Soyabean Meal (Sunflower)
167,Edible Oil,Sunflower Meal
168,Edible Oil,Sunflower Oil
169,Edible Oil,Sunflower Seed
467,Edible Oil,Camelina
170,Livestock,Buffalo / 100-150 kg
171,Livestock,Buffalo / 150-200 kg
172,Livestock,Buffalo / 200-250 kg
173,Livestock,Buffalo / 250-300 kg
174,Livestock,Buffalo / 300-350 kg
175,Livestock,Buffalo / 350-400 kg
176,Livestock,Buffalo / above 400 kg
177,Livestock,Buffalo / Below 100 Kg
178,Livestock,Camel / 100-150 kg
179,Livestock,Camel / 150-200 kg
180,Livestock,Camel / 200-250 kg
181,Livestock,Camel / 250-300 kg
182,Livestock,Camel / 300-350 kg
183,Livestock,Camel / 350-400 kg
184,Livestock,Camel / 400-450 kg
185,Livestock,Camel / 450-500 kg
186,Livestock,Camel / above 500 kg
187,Livestock,Cow / 100-150 kg
188,Livestock,Cow / 150-200 kg
189,Livestock,Cow / 200-250 kg
190,Livestock,Cow / 250-300 kg
191,Livestock,Cow / 300-350 kg
192,Livestock,Cow / 350-400 kg
193,Livestock,Cow / above 400 kg
194,Livestock,Cow / Below 100 Kg
195,Livestock,Buffalo - Milk With Cream
196,Livestock,Buffalo - Milk Without Cream
197,Livestock,Cow - Milk With Cream
198,Livestock,Cow - Milk Without Cream
199,Livestock,Alfalfa
200,Livestock,Black Dry Dates Cutter
201,Livestock,Canola Meal
202,Livestock,Channa Atti
203,Livestock,Corn Silage
204,Livestock,Cotton Seed Cake
205,Livestock,Dry Dates Skintone Cutter
206,Livestock,Elephant Grass
207,Livestock,Fodder - Green Grass
208,Livestock,Jantar
209,Livestock,Limestone
210,Livestock,Lucerne Fodder
211,Livestock,Maize Fodder
212,Livestock,Maize Grade A
213,Livestock,Maize Grade B
214,Livestock,Maize Grade C
215,Livestock,Masha Katta
216,Livestock,Masoor Katta
217,Livestock,Moong Katta
218,Livestock,Mustard Seed Cake
219,Livestock,Mustard Seed Cake Cutter
220,Livestock,Rhode Grass
221,Livestock,Rice Polish
222,Livestock,Sorghum
223,Livestock,Sorghum (Jowar) - Feed
224,Livestock,Soyabean Meal
225,Livestock,Wanda (40-50% Maize)
226,Livestock,Wanda Concentration
227,Livestock,Wheat Bran
228,Livestock,Wheat Husk
229,Livestock,Wheat Poridge
230,Livestock,Wheat Straw
231,Livestock,Fish
232,Livestock,Goat / 10-15 kg
233,Livestock,Goat / 15-20 kg
234,Livestock,Goat / 20-25 kg
235,Livestock,Goat / 25-30 kg
236,Livestock,Goat / 30-35 kg
237,Livestock,Goat / 35-40 kg
238,Livestock,Goat / 40-45 kg
239,Livestock,Goat / 45-50 kg
240,Livestock,Goat / 50-55 kg
241,Livestock,Goat / 55-60 kg
242,Livestock,Goat / 60-65 kg
243,Livestock,Goat / 65-70 kg
244,Livestock,Goat / 70-75 kg
245,Livestock,Goat / 75-80 kg
246,Livestock,Goat / 80-85 kg
247,Livestock,Goat / 85-90 kg
248,Livestock,Goat / 90-95 kg
249,Livestock,Goat / 95-100 kg
250,Livestock,Lamb / 10-15 kg
251,Livestock,Lamb / 15-20 kg
252,Livestock,Lamb / 20-25 kg
253,Livestock,Lamb / 25-30 kg
254,Livestock,Lamb / 30-35 kg
255,Livestock,Lamb / 35-40 kg
256,Livestock,Lamb / 40-45 kg
257,Livestock,Lamb / 45-50 kg
258,Livestock,Lamb / 50-55 kg
259,Livestock,Lamb / 55-60 kg
260,Livestock,Lamb / 60-65 kg
261,Livestock,Lamb / 65-70 kg
262,Livestock,Lamb / 70-75 kg
263,Livestock,Lamb / 75-80 kg
264,Livestock,Lamb / 80-85 kg
265,Livestock,Lamb / 85-90 kg
266,Livestock,Lamb / 90-95 kg
267,Livestock,Lamb / 95-100 kg
268,Livestock,Broiler
269,Livestock,Sheep / 10-15 kg
270,Livestock,Sheep / 15-20 kg
271,Livestock,Sheep / 20-25 kg
272,Livestock,Sheep / 25-30 kg
273,Livestock,Sheep / 30-35 kg
274,Livestock,Sheep / 35-40 kg
275,Livestock,Sheep / 40-45 kg
276,Livestock,Sheep / 45-50 kg
277,Livestock,Sheep / 50-55 kg
278,Livestock,Sheep / 55-60 kg
279,Livestock,Sheep / 60-65 kg
280,Livestock,Sheep / 65-70 kg
281,Livestock,Sheep / 70-75 kg
282,Livestock,Sheep / 75-80 kg
283,Livestock,Sheep / 80-85 kg
284,Livestock,Sheep / 85-90 kg
285,Livestock,Sheep / 90-95 kg
286,Livestock,Sheep / 95-100 kg
287,Livestock,Slaughter House / 100-200 kg
288,Livestock,Slaughter House / 200-300 kg
289,Livestock,Slaughter House / 300-400 kg
290,Livestock,Slaughter House / 400-500 kg
291,Livestock,Slaughter House / 500-600 kg
292,Livestock,Slaughter House / 600-700 kg
293,Livestock,Slaughter House / 700-800 kg
294,Livestock,Slaughter House / above 800 kg
295,Livestock,Slaughter House / Below 100 Kg
466,Livestock,Barseem
296,Kiryana,Asia Ghee
297,Kiryana,Dalda Ghee
298,Kiryana,Kashmir Ghee
299,Kiryana,Khyber Ghee
300,Kiryana,Sufi Ghee
301,Fruits,Apple
302,Fruits,Apricot
303,Fruits,Banana
304,Fruits,Cheeku
305,Fruits,Cherry
306,Fruits,Falsa
307,Fruits,Fruiter
308,Fruits,Grape Fruit
309,Fruits,Grapes
310,Fruits,Guava
311,Fruits,Kharbooza
312,Fruits,Mandrin Orange
313,Fruits,Mango Almas
314,Fruits,Mango Anwar Ratol
315,Fruits,Mango Black Chausa
316,Fruits,Mango Daseri
317,Fruits,Mango Fajri
318,Fruits,Mango Langra
319,Fruits,Mango Saroli
320,Fruits,Mango Sindhri
321,Fruits,Mango Surmai
322,Fruits,Mango White Chausa
323,Fruits,Mausambi
324,Fruits,Nashpati
325,Fruits,Orange
326,Fruits,Papaya
327,Fruits,Peach
328,Fruits,Pineapple
329,Fruits,Plum
330,Fruits,Pomegranate
331,Fruits,Sweet Lime
332,Fruits,Watermelon
428,Fruits,Kala Kullu Apple
333,Vegetable,Bitter Gourd
334,Vegetable,Bottle Gourd
335,Vegetable,Broccoli
336,Vegetable,Cabbage
337,Vegetable,Capsicum
338,Vegetable,Carrot
339,Vegetable,CauliFlower
340,Vegetable,Green Chilli - Large
341,Vegetable,Green Chilli - Medium
342,Vegetable,Green Chilli - Small
343,Vegetable,Red Desi Chilli
344,Vegetable,Chinese Carrot
345,Vegetable,Cucumber
346,Vegetable,Desi Garlic
347,Vegetable,Desi Lemon
348,Vegetable,Galic Harni
349,Vegetable,Garlic China
350,Vegetable,Garlic G1
351,Vegetable,Ginger
352,Vegetable,Gol Brinjal
353,Vegetable,Guar
354,Vegetable,Lemon China
355,Vegetable,Long Brinjal
356,Vegetable,Okra
357,Vegetable,Onion Grade A
358,Vegetable,Onion Grade B
359,Vegetable,Onion Grade C
360,Vegetable,Pea
361,Vegetable,Potato Astras Grade A
362,Vegetable,Potato Astras Grade B
363,Vegetable,Potato Astras Grade C
364,Vegetable,Potato Beej Grade A
365,Vegetable,Potato Beej Grade B
366,Vegetable,Potato Beej Grade C
367,Vegetable,Potato Curda Grade A
368,Vegetable,Potato Curda Grade B
369,Vegetable,Potato Curda Grade C
370,Vegetable,Potato Goli Grade A
371,Vegetable,Potato Goli Grade B
372,Vegetable,Potato Goli Grade C
373,Vegetable,Potato Ismi Grade A
374,Vegetable,Potato Ismi Grade B
375,Vegetable,Potato Ismi Grade C
376,Vegetable,Potato Laal Grade A
377,Vegetable,Potato Laal Grade B
378,Vegetable,Potato Laal Grade C
379,Vegetable,Potato LR Grade A
380,Vegetable,Potato LR Grade B
381,Vegetable,Potato LR Grade C
382,Vegetable,Potato Mozika Grade A
383,Vegetable,Potato Mozila Grade B
384,Vegetable,Potato Mozila Grade C
385,Vegetable,Potato Raveera Grade A
386,Vegetable,Potato Raveera Grade B
387,Vegetable,Potato Raveera Grade C
388,Vegetable,Potato Santa Grade A
389,Vegetable,Potato Santa Grade B
390,Vegetable,Potato Santa Grade C
391,Vegetable,Potato Stone Grade A
392,Vegetable,Potato Stone Grade B
393,Vegetable,Potato Stone Grade C
394,Vegetable,Potato Sufaid Grade A
395,Vegetable,Potato Sufaid Grade B
396,Vegetable,Potato Sufaid Grade C
397,Vegetable,Ridge Gourd
398,Vegetable,Round Gourd
399,Vegetable,Salad Leaf
400,Vegetable,Spinach
401,Vegetable,Sweet Potato
402,Vegetable,Tomato Grade A
403,Vegetable,Tomato Grade B
404,Vegetable,Tomato Grade C
405,Vegetable,Turnip
406,Dry Fruit,Almond
407,Dry Fruit,Cashew
408,Dry Fruit,Coconut Powder
409,Dry Fruit,Coconut Whole
410,Dry Fruit,Fig
411,Dry Fruit,Pistachio
412,Dry Fruit,Raisin
413,Dry Fruit,Walnut
414,Herbs,Ajwain
415,Herbs,Chia Seed
416,Herbs,Dry Lemon
417,Herbs,Hing
418,Herbs,Honey
419,Herbs,Ispaghol
420,Herbs,Ispaghol Husk
421,Herbs,Kalonji
422,Herbs,Kalonji Oil
423,Herbs,Salab Misri
424,Herbs,Saleb Panja
425,Herbs,Saunf
426,Herbs,Tukh Malanga
427,Herbs,Zafran
