id,division,by_product
1,Wheat,Barley
2,Wheat,Bran
3,Wheat,Flour
4,Wheat,Flour Special
5,Wheat,Oat
6,Wheat,Refined Flour
7,Wheat,Semolina
8,Wheat,Sorghum
9,Wheat,Straw
10,Wheat,Wheat
11,Maize,Corn Silage
12,Maize,Corn Starch
13,Maize,Maize Grade A
14,Maize,Maize Grade B
15,Maize,Maize Grade C
16,Maize,Maize Grade D
17,Maize,Popcorn
18,Sesame,Sesame Grade A
19,Sesame,Sesame Grade B
20,Sesame,Sesame Grade C
21,Sesame,Sesame Oil (Til ka Tail)
22,Millet,Millet Grade A
23,Millet,Millet Grade B
24,Millet,Millet Grade C
25,Cotton,Cotton Seed
26,Cotton,Cotton Seed Cake
27,Cotton,Cotton Seed Oil
28,Cotton,Lint Cotton
29,Cotton,Seed Cotton Grade A
30,Cotton,Seed Cotton Grade B
31,Cotton,Seed Cotton Grade C
32,Paddy,Paddy
33,Paddy,Paddy 1509
34,Paddy,Paddy 1692
35,Paddy,Paddy 1718
36,Paddy,Paddy 1847
37,Paddy,Paddy 386
38,Paddy,Paddy 86
39,Paddy,Paddy C-9
40,Paddy,Paddy Diamond
41,Paddy,Paddy Irri
42,Paddy,Paddy Irri 6
43,Paddy,Paddy Irri 9
44,Paddy,Paddy Irri Fine
45,Paddy,Paddy Irri-Fine
46,Paddy,Paddy Kainat 1121
47,Paddy,Paddy LP-18
48,Paddy,Paddy PP-7
49,Paddy,Paddy Super
50,Paddy,Paddy Super 515
51,Paddy,Paddy Supri
52,Rice,Rice
429,Rice,1121 Basmati-1
430,Rice,1121 Basmati-2
431,Rice,1121 Kacha
432,Rice,1121 Steam
433,Rice,1121 White
434,Rice,1509 Kacha
435,Rice,1509 Sella
436,Rice,1509 Steam
437,Rice,1509 Steam Basmati
438,Rice,1509 White
439,Rice,386 Basmati-New
440,Rice,386 Basmati-Old
441,Rice,C-9 Sila
442,Rice,C-9 Steam
443,Rice,C-9 White
444,Rice,Irri 6
445,Rice,Irri 6 Sabut-1
446,Rice,Irri 9
447,Rice,Irri Tota
448,Rice,Kainat Double Steam
449,Rice,Lal 386 New
450,Rice,Lal 386 Old
451,Rice,Punia 1121-1
452,Rice,Punia 1121-2
453,Rice,Punia Basmati-1
454,Rice,Rice Husk
455,Rice,Sella 1121-1
456,Rice,Sella 386
457,Rice,Sella Punjab
458,Rice,Short Grain (Tota)
459,Rice,Silky
460,Rice,Silky & Sortex
461,Rice,Super Basmati Sindh
462,Rice,Super Kernel
463,Rice,Supri New
464,Rice,Supri Sila
465,Rice,Tota Basmati
53,Fertilizer,Ammonium Sulphate
54,Fertilizer,Amonium Nitrate
55,Fertilizer,CAN
56,Fertilizer,Chlorphenapyr 36% SC
57,Fertilizer,Clothianidin 20% EC
58,Fertilizer,DAP
59,Fertilizer,Enrich
60,Fertilizer,Green Phosphate
61,Fertilizer,Mesotrione + Atrazine 50% WP
62,Fertilizer,Mesotrione + Atrazine 55% WP
63,Fertilizer,MOP
64,Fertilizer,NP
65,Fertilizer,NPK
66,Fertilizer,Pak Arab CAN
